Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
Alabama Coastal Impact Assistance Program,http://www.outdooralabama.com/sites/default/files/images/File/Weeks_Bay/CIAP_Plan.pdf,County,data driven,yes,yes,yes,"promote wise management of natural resources and will Draft State of Alabama Coastal Impact Assistance Program Plan Introduction - xiv - include activities such as acquisition and management of coastal habitats, including wetlands",,,,,Coastal areas in Mobile County will be more accessible to citizens and will provide increased opportunities for environmental education and recreation in order to foster support for conservation and restoration efforts.,2007,Alabama Department of Conservation and Natural Resources,Mobile,11
Mobile Bay NEP- A Call to Action,plan/al12_CCMP-Volume-I.pdf,Statewide,stakeholder driven,yes,yes,yes,Improve management of critical habitats that support estuarine dependent species,Develop and implement a water body bank conservation easement and/or buyout program;,,,Identify/Restore/Protect areas of most stress and least stress throughout the estuary,,,,AL,12
Weeks Bay Watershed Nonpoint Source Prioritization Project and Site Conservation Plan,http://www.outdooralabama.com/sites/default/files/images/File/Weeks_Bay/WBWPManagementPlan.pdf,Watershed,stakeholder driven,yes,yes,yes,"Ensure protection of fish and wildlife habitats, including SAV, fringe marsh, shorelines, & other wetlands and upland forest through aquisition, educational and incentive programs","Reduce pollution from: agricultural activities, construction & land clearing, residential sources, recreational activities, on-site sewerage sustems, unpaved roads, urban stormwater discharge",Protect groundwater resources,,,,,,AL,13
Baldwin County Wetland Conservation Plan,http://www.outdooralabama.com/sites/default/files/images/file/Weeks_Bay/Baldwin_wetlands.pdf,Regional,expert opinion,,,,,,,,,,,,Baldwin,14
Bon Secour National Wildlife Refuge-  U.S. Fish and Wildlife Service Habitat Management Plan,http://www.outdooralabama.com/sites/default/files/images/file/Weeks_Bay/BonSecourNWR.pdf,Regional,expert opinion,,,,"Goal 1: Manage dune and coastal scrub to maximize Alabama beach mouse habitat on the Perdue, Little Point Clear and Fort Morgan Units. Goal 2: Identify, manage, and enhance refuge habitats for a variety of avifauna, with an emphasis on habitats that support birds of conservation concern.",,"Goal 3: Identify and maintain a diversity of native plant communities on the refuge, including forested systems",,,,,,AL,15
Alabama Coastal Comprehensive Plans,http://www.sam.usace.army.mil/Missions/Program-and-Project-Management/Alabama-Coastal-Comprehensive-Plan/,Coastal_zone,data driven,,,,,,,,,,,,Coastal_zone,16
Conserving Alabama's Coastal Habitats: Acquisition and Restoration Priorities of Mobile and Baldwin Counties,http://www.mobilebaynep.com/images/uploads/library/Coastal-Habitat-Atlas1.pdf,Regional,expert opinion,yes,yes,yes,Maintain and/or improve beneficial wetland function within the Mobile Bay watershed by reducing loss in quality and quantity or restoring degraded marsh habitats and increase acreage by 5%; Reduce the loss of beach and dune habitat;Reduce the loss of bay/sound/bayou intertidal habitat due to bulkheading,,Prevent the loss of nesting habitat for colonial and migratory birds due to human disturbance and alteration; Restore or protect Submerged aquatic vegetation habitat and increase acreage by 3% from 2001 levels,,,"Restore, enhance, or protect important coastal and marine habitats that are essential to the recreational and commercial fisheries of the Gulf including the prevention and control of invasive species by 20,000 acres by 2009",2017,Mobile Bay NEP with The Nature Conservancy,Baldwin,17
Coastal Habitat Restoration Planning Initiative,http://www.nfwf.org/gulf/Documents/al-watershed-planning-14.pdf,Regional,data driven,yes,yes,yes,,,,,prioritize conservation projects that will restore and maintain the ecological functioning of this important estuary,,2014,Mobile Bay NEP with NFWF funds,Mobile,18
Bayou La Batre Watershed Assessment (Aug 2016),http://www.mobilebaynep.com/images/uploads/library/Cook_Polyengineering_Bayou_La_Batre_Watershed_Pre-Reatoration_Assessment_2016.pdf,Watershed,data driven,no,no,no,,,,,,,2017,Mobile Bay NEP,Bayou La Batre,19
"Bon Secour River, Oyster Bay, Skunk Bayou Watershed Management Plan ",http://www.mobilebaynep.com/assets/landing/Final_Bon_Secour_WMP_January_2017.pdf,Watershed,stakeholder driven,,yes,yes,"Protect and enhance fish and wildlife habitat; Increase conservation easements and protected habitat (Bon Secour River, Oyster Bay, and Skunk Bayou watersheds); vegetative buffers along the riparian corridor of disrupted streams to restore and protect the riparian corridors of prioritized streams",Improve water quality,,Preserve the cultural heritage of the three watersheds,protect shorelines from erosion by employing natural bank stabilization. This measure will be implemented using Living Shoreline strategies on prioritized unprotected shorelines,,,,Bon Secour,20
"Dauphin Island Strategic Plan, A 20 year vision",http://www.mobilebaynep.com/images/uploads/library/di_final_report10-07.pdf,Watershed,stakeholder driven,yes,yes,yes,"Design and carryout programs for canopy protection and habitat preservation of the east end Maritime Forest ecosystem, protect barier Island ecosystem",Protect and sustain the Island’s groundwater aquifer,,"beach stabilization, protect dunes & sediment sources",preserve wetland and surface water ecosystems because of their important support of the Island’s wildlife habitats and drinking water source,"promote low-impact development (LID) processes that guide the further residential improvement of east end forested parcels on Dauphin Island in a way that protects the natural resources present; Develop a long-term strategy for beach/dune preservation, environmental protection, and appropriate use of the west end beach area, emphasizing more access for the public to these resources that generate Town revenue.",2017,"MS-Al Sea Grant, Collaborative",Dauphin Island,21
Dog River Draft Water Management Plan,http://www.mobilebaynep.com/images/uploads/library/Draft_DRWMP_8_14_17.pdf,Watershed,stakeholder driven,yes,yes,yes,Protect and Restore Critical habitats,Improving trends in water quality in priority watersheds that discharge into priority fishery nursery area,,,"Improving ecosystem function and resilience through protection, restoration, and conservation of habitats, including beaches, bays, backwaters, and rivers;",Restoring and/or expanding human connections to Alabama’s coastal resources,2017,Mobile Bay NEP,Dog River,22
D'Olive Creek Watershed Managment Plan,http://www.mobilebaynep.com/images/uploads/library/DOlive-Final-Report-Full.pdf,Watershed,stakeholder driven,yes,yes,no,"Mitigate future impacts of development in the watersheds; Conservation easements should be acquired for the remaining Grady Ponds that exist within the headwater drainage areas of the southeastern portion of the D’Olive Watershed opportunities to incorporate these natural features into an overall stormwater management system for the Watershed should be evaluated. A wetlands restoration/enhancement program should be implemented, including the removal of accumulated sediments (where feasible), removal of exotic plants, and reestablishment of desirable wetland species.","Reduce upstream sediment inputs; Reduce outgoing sediment loads;remediate and restore waterways, wetlands, and floodplains which have been adversely impacted by sediment deposition and accumulation",,,,,2017,Mobile Bay NEP,D'Olive Creek,23
Eightmile Creek Watershed Management Plan,http://www.mobilebaynep.com/assets/landing/Eight-Mile_Creek_Watershed_Plan_final.pdf,Watershed,stakeholder driven,no,no,no,Riparian corridor restoration and soil retention through planting of trees and shrubs and maintenance of natural vegetative cover along stream banks.,,,,,,,Mobile Bay NEP,Eightmile Creek,24
Fowl River Watershed Management Plan,http://www.mobilebaynep.com/assets/landing/Fowl_River_Watershed_Management_Plan_3_30_16_web.pdf,Watershed,stakeholder driven,yes,yes,yes,"habitat management, habitat protection, habitat acquisition","Litter removal, reduction in erosion and sedimentation, chemical management, stormwater management ","Litter removal, reduction inerosion and sedimentation"," shoreline restoration, island restoration,boat wakes, enforcement, citizen participation",,"citizen participation, recreation",2017,Mobile Bay NEP,Fowl River,25
Three Mile Creek Watershed,http://www.mobilebaynep.com/assets/landing/TMC_Final_WMP.pdf,Watershed,stakeholder driven,yes,yes,yes,,Improve Water Quality,Protect and Improve the health of fish and wildlife,Plan and Prepare for climate resiliency,,"Restore heritage and cultural connection between the watershed and community, provide access to resources",,,Three Mile Creek,26
Weeks Bay Watershed Management Plan,http://www.mobilebaynep.com/images/uploads/library/Weeks_Bay_WMP_Draft.pdf,Watershed,stakeholder driven,yes,yes,yes,"Vulnerable High Quality Habitats for Protection. conserving and restoring  freshwater wetlands,streams, rivers and riparian buffers, intertidal marshes and flats, address degraded Wetlands and Riparian Buffers, Implement strategic acquisition of high quality coastal and headwater habitats","Address Watershed Water Quality Issues, Encourage Improved Agricultural BMPs, Sustain Watershed Hydrology by Promoting Low Impact Development (LID) and Green Infrastructure (GI), Address pathogen source location and remediation measures for human and livestock sources, implement nutrient loading reduction management measures","Identify specific oyster reef and contiguous marshes that are candidates for construction of living shoreline or shoreline protection/restoration measures, Encourage use of conservation programs available for both public and private landowners through
the NRCS and Farm Service Agency (FSA) programs","Increase Public Awareness of Sea Level Rise, Plan/Design for Sea Level Rise,  Address Stormwater Management and Flooding, conduct an inventory and assessment of stormwater basin systems, Promote LID/GI practices and education throughout the Watershed
",,,,,Weeks Bay,27
Fowl River Watershed Restoration: Coastal Spits and Wetlands Project (NFWF GEBF),http://www.nfwf.org/gulf/Documents/al-fowl-river-spits-16.pdf,Watershed,expert opinion,yes,yes,yes,engineering and design studies to develop a solution to stabilize and protect four priority in-river wetland spits and restore marshland throughout the intertidal portions of lower Fowl River,hydrologic modelling and a marsh health and recovery study for the watershed,,,,,,,Fowl River,28
Baldwin County Multihazard Mitigation Plan,http://baldwincountyal.gov/docs/default-source/ema/hazard-mitigation-expires-03-06-2016.pdf,County,stakeholder driven,yes,yes,yes,"Restoration and protection of wetlands, stream or river banks, and riparian zones, dune and beach restoration","Streams protected from dumping, protection of water quality and quantity","develop urban forestry management plan, increase forest canopy ","Aquire open space, purchase easements, and accept donations of lands within environmentally significant and vulnerable locations through the Land Trust","Preserving and restoring the beneficial functions of the natural environment to promote sustainable community development that balances the constraints of nature with the social and economic demands of the community, coastal renourishment, ",,2010,Baldwin County Hazard Mitigation Planning Committee,Baldwin,29
Mon Louis Island/Dechamps Bayou,http://www.mobilebaynep.com/images/uploads/library/MBNEP_Mon_Louis_Alternatives_Evaluation_%28Draft_6-4-2014%29_with_App.pdf,site specific,data driven,,,,"stabilize the shoreline along the bay side of the northern tip of Mon Louis Island and (2) create/enhance aquatic, wetland, and upland habitats to the extent possible",,,,"stabilize the shoreline along the bay side of the northern tip of Mon Louis Island and (2) create/enhance aquatic, wetland, and upland habitats to the extent possible",,2017,Mobile Bay NEP,Mon Louis Island,30
Baldwin County Wetland Conservation Plan,http://www.outdooralabama.com/sites/default/files/images/file/Weeks_Bay/Baldwin_wetlands.pdf,County,expert opinion,yes,yes,yes,,,,,,,2005,The Baldwin County Planning Commission,Baldwin,31
Gulf Coast Joint Venture: Mobile Bay Initiative,http://gcjv.org/docs/MobileBaypub.pdf,Regional,expert opinion,yes,yes,yes,"High priority:  conservation of marshes and SAV habitat. Secondary priority: management ncluding hydrologic restoration, moist-soil management, bottomland hardwood reforestation, and timber stand improvements. on existing forested wetland tracts to increase waterfowl use of the area. ",,"provide wintering and migration habitat for greater and lesser scaup, canvasbacks, and numerous puddle duck species",,,,,,Regional,32
Gulf Shores Vision 2025 for Sustainability,http://www.gulfshoresal.gov/DocumentCenter/View/1049,County,expert opinion,no,no,no,"Gulf State Park Restoration Enhancement of Gulf State Park will foster a synergistic and sustainable relationship between the park’s habitats, ecology and economy by promoting the equitable sharing and protecting of resources.",,,,,,2013-2018,Mobile Bay NEP,AL,33
Coastal Alabama River Basin Management Plan,http://www.mobilebaynep.com/images/uploads/library/Final_Coastal_River_Basin_Plan.pdf,Regional,expert opinion,no,no,no,,Develop and implement a campaign designed to foster establishment of stakeholder groups in all subwatersheds with priority in those that contain 303(d) listed streams and to involve new groups in the Coastal Alabama Clean Water Partnership; ,,,,,2004,South Alabama Regional Planning Commission,Regional,34
Salt Aire Shoreline Restoration,http://www.nfwf.org/gulf/Documents/al-salt-aire-17.pdf,Estuary,expert opinion,yes,yes,yes,"placement of approximately 5,600 linear feet of segmented low-profile breakwater structures, and the placement of approximately 150,000 cubic yards of dredge material from an existing nearby disposal area, resulting in an estimated 30 acres of restored marsh habita",,,,,,2017,Mobile County Commission NFWF,Mobile,35
Mobile Bay Shore Habitat Conservation and Acquisition Initiative – Phase II,http://www.nfwf.org/gulf/Documents/al-mobile-bay-17.pdf,Coastal_zone,expert opinion,yes,yes,yes,"acquire, restore and preserve intact high‐priority, undeveloped properties within three specific areas of the City of Mobile. These three priority intertidal habitat areas include riparian, wetland and upland habitats that are used by a variety of fish and wildlife species",,,,,,2017,City of Mobile NFWF,Mobile,36
Dauphin Island Bird Habitat Acquisition and Enhancement Program,http://www.nfwf.org/gulf/Documents/al-dauphin-island-acquisition-and-enhancement-17.pdf,Watershed,expert opinion,yes,yes,yes,"project will enhance coastal bird habitat along one mile of recently restored beach that is immediately adjacent to a 200 acre bird sanctuary on Dauphin Island; acquire and enhance important bird habitats on Dauphin Island to benefit shorebirds, wading birds and seasonal migrant",,,,,,2017,TNC. Dauphin Island Bird Sanctuary NFWF,Dauphin Island,37
Bon Secour National Wildlife Refuge Acquisition,http://www.nfwf.org/gulf/Documents/al-navy-cove-acquisition-17.pdf,Statewide,expert opinion,yes,yes,yes,acquisition of a 251-acre property on the Fort Morgan Peninsula that has been identified as a high conservation priority in the state of Alabama. The parcel will be deeded to the U.S. Fish and Wildlife Service (USFWS) for inclusion and management within Bon Secour National Wildlife Refuge (BSNWR),,,,,,2017,Conservation Fund NFWF,Al,38
Lightning Point Acquisition and Restoration Project – Phase I,http://www.nfwf.org/gulf/Documents/al-lightning-point-16.pdf,County,expert opinion,yes,yes,yes,"protect and restore a key stretch of coastal shoreline at the mouth of Bayou La Batre River. Specifically, the project includes the acquisition of more than 100 acres of coastal habitat and the engineering and design for restoring approximately 28 acres of marsh and 1.5 miles of intertidal nearshore breakwater",,,,,,2016,TNC NFWF,Bayou La Batre,39
Bon Secour - Oyster Bay Wetland Acquisition Project,http://www.nfwf.org/gulf/Documents/al-gulf-shores-acquisitions-16.pdf,County,expert opinion,yes,yes,yes,acquisition project will protect and restore approximately 836 acres of diverse coastal habitat in the City of Gulf Shores,,,,,,2016,City of Gulf Shores NFWF,Gulf Shores,40
Gulf Highlands Conservation Acquisition,http://www.nfwf.org/gulf/Documents/al-gulf-highlands-16.pdf,County,expert opinion,yes,yes,yes,"acquire, conserve, and manage 113 acres with 2,700 feet of Gulf frontage beach/dune habitat – the largest, privately held, undeveloped beachfront parcel remaining in coastal Alabama; as well as future management and stewardship of these important coastal habitatsinterpretive signage",,,,,,2016,Alabama Department of Conservation and Natural Resources,Baldwin,41
Grand Bay Acquisition,http://www.nfwf.org/gulf/Documents/al-grand%20bay-15.pdf,County,expert opinion,yes,yes,yes,acquire three parcels consisting of 647 acres of priority coastal habitat in southwestern Mobile County in Grand Bay; acquisitions are critical inholdings in the Grand Bay complex and represent significant outstanding properties linking existing conservation lands across the broader Mississippi Sound landscape in the northern Gulf of Mexico,,,,,,2015,The Nature Conservancy NFWF,Mobile,42
Mobile County Conservation Acquisition,http://www.nfwf.org/gulf/pages/gebf-alabama.aspx,County,expert opinion,yes,yes,yes,"acquiring and conserving a 233-acre parcel located on Mobile Bay near the mouth of Fowl River. The parcel contains approximately 90 acres of brackish marsh habitat and transitional upland habitat with a high diversity of plants, birds and aquatic species. Funding will be utilized to complete due diligence and acquisition of the parcel, and the development and implementation of a conservation stewardship and management plan",,,,,,2015,Mobile County NFWF,Mobile,43
D'Olive Watershed Restoration,http://www.nfwf.org/gulf/Documents/al-d%27olive-watershed-restoration.pdf,Estuary,data driven,no,no,no,,"restore degraded streams and install management measures to reduce the downstream impacts in the D'Olive watershed through a combination of stormwater retrofits, stream restorations and detailed monitoring. Stabilization of these stream segments will significantly reduce sediment loading in the northeast quadrant of Mobile Bay, improving the quality and clarity of the water necessary for re-establishing submerged aquatic vegetation (SAV) beds in the upper Bay",,,,,2013,Mobile Bay NEP NFWF,Baldwin,44
Fowl River Watershed Restoration,http://www.nfwf.org/gulf/Documents/al-fowl-river.pdf,Watershed,expert opinion,yes,no,yes,"restore the existing 8 acres of tidal marsh land at the tip of Mon Louis island, and create an additional 6 acres of habitat through the beneficial use of dredged material to restore the island to its historic footprint. ",development of a comprehensive watershed management plan for the Fowl River watershed,,,,,2013,Mobile Bay NEP NFWF,Mobile,45
